LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,1186 BROADWAY RESTAURANT LLC,30 W 26th Street Floor 12,NEW YORK,NY,10010.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,417.0,04/15/2020,BMO Harris Bank National Association,NY - 12
a $5-10 million,"246 SPRING STREET (NY), LLC",246 SPRING ST,NEW YORK,NY,10013.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,328.0,04/28/2020,City National Bank,NY - 07
a $5-10 million,ABRAHAM JOSHUA HESCHEL SCHOOL,20 West End Ave,NEW YORK,NY,10023.0,611110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,365.0,05/03/2020,"Bank of America, National Association",NY - 10
a $5-10 million,"ACCESS STAFFING, LLC",360 Lexington Ave 8th Floor,NEW YORK,NY,10017.0,561311.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,500.0,04/11/2020,"Newtek Small Business Finance, Inc.",NY - 12
a $5-10 million,"ACCUITY DELIVERY SYSTEMS, LLC",810 7TH AVE Suite 1110,NEW YORK,NY,10019.0,541511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,293.0,04/08/2020,CIBC Bank USA,NY - 10
a $5-10 million,"ADVANCE CARE ALLIANCE OF NY, INC.",1410 Broadway,NEW YORK,NY,10018.0,561110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,04/30/2020,"TD Bank, National Association",NY - 10
a $5-10 million,AKF GROUP LLC,1 Liberty Plaza. 165 Broadway 22nd Floor,NEW YORK,NY,10006.0,541330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,330.0,04/13/2020,Village Bank,NY - 10
a $5-10 million,"AKRF, INC",440 Park Ave South 7th FL,NEW YORK,NY,10016.0,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,384.0,04/09/2020,Investors Bank,NY - 12
a $5-10 million,ALICE + OLIVIA LLC,450 West 14TH ST 11th Floor,NEW YORK,NY,10014.0,423910.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,400.0,04/14/2020,"HSBC Bank USA, National Association",NY - 10
a $5-10 million,ALLAN BRITEWAY ELECTRICAL CONTRACTORS INC.,228 E 45TH ST 9TH FLOOR,NEW YORK,NY,10017.0,238210.0,Corporation,Unanswered,Male Owned,Unanswered,,,04/15/2020,Provident Bank,NY - 12
a $5-10 million,"ALTAMAREA GROUP, LLC",611 Broadway Suite 415,NEW YORK,NY,10012.0,722310.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,350.0,04/04/2020,Dime Community Bank,NY - 07
a $5-10 million,"ANCHIN, BLOCK & ANCHIN, LLP",1375 Broadway,NEW YORK,NY,10018.0,541211.0,Partnership,Unanswered,Unanswered,Unanswered,,315.0,04/10/2020,Valley National Bank,NY - 10
a $5-10 million,ANTI-DEFAMATION LEAGUE,605 3rd Avenue Fl 10,NEW YORK,NY,10158.0,813311.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,369.0,04/28/2020,"Bank of America, National Association",NY - 12
a $5-10 million,ARCHDIOCESE OF NEW YORK,1011 1st Avenue - 19th Floor 0.0,NEW YORK,NY,10022.0,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,462.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 12
